PartitionKey,RowKey,Mapping
GIAS.ProviderType,Academy,"[""10""]"
GIAS.ProviderType,College,"[""1""]"
GIAS.ProviderType,Free school,"[""11""]"
GIAS.ProviderType,Independant School,"[""3""]"
GIAS.ProviderType,Local Authority Maintained School,"[""4""]"
GIAS.ProviderType,Special School,"[""5""]"
GIAS.ProviderType,University,"[""2""]"
GIAS.ProviderType,Other Type,"[""9""]"
GIAS.ProviderSubType,Academy 16 to 19 sponsor led,"[""46""]"
GIAS.ProviderSubType,Academy 16-19 converter,"[""45""]"
GIAS.ProviderSubType,Academy alternative provision converter,"[""42""]"
GIAS.ProviderSubType,Academy alternative provision sponsor led,"[""43""]"
GIAS.ProviderSubType,Academy converter,"[""34""]"
GIAS.ProviderSubType,Academy special converter,"[""44""]"
GIAS.ProviderSubType,Academy special sponsor led,"[""33""]"
GIAS.ProviderSubType,Academy sponsor led,"[""28""]"
GIAS.ProviderSubType,British schools overseas,"[""37""]"
GIAS.ProviderSubType,Children's centre,"[""47""]"
GIAS.ProviderSubType,Children's centre linked site,"[""48""]"
GIAS.ProviderSubType,City technology college,"[""6""]"
GIAS.ProviderSubType,Community school,"[""1""]"
GIAS.ProviderSubType,Community special school,"[""7""]"
GIAS.ProviderSubType,Early years setting,"[""22""]"
GIAS.ProviderSubType,European schools,"[""17""]"
GIAS.ProviderSubType,Foundation school,"[""5""]"
GIAS.ProviderSubType,Foundation special school,"[""12""]"
GIAS.ProviderSubType,Free schools,"[""35""]"
GIAS.ProviderSubType,Free schools 16 to 19,"[""39""]"
GIAS.ProviderSubType,Free schools alternative provision,"[""38""]"
GIAS.ProviderSubType,Free schools special,"[""36""]"
GIAS.ProviderSubType,Further education,"[""18""]"
GIAS.ProviderSubType,Higher education institutions,"[""29""]"
GIAS.ProviderSubType,Independent school approved for SEN pupils,"[""9""]"
GIAS.ProviderSubType,Institution funded by other government department,"[""56""]"
GIAS.ProviderSubType,Legacy types,"[""98""]"
GIAS.ProviderSubType,Local authority nursery school,"[""15""]"
GIAS.ProviderSubType,Miscellaneous,"[""27""]"
GIAS.ProviderSubType,Non-maintained special school,"[""8""]"
GIAS.ProviderSubType,Offshore schools,"[""25""]"
GIAS.ProviderSubType,Other independent school,"[""11""]"
GIAS.ProviderSubType,Other independent special school,"[""10""]"
GIAS.ProviderSubType,Playing for success centres,"[""23""]"
GIAS.ProviderSubType,Pupil referral unit,"[""14""]"
GIAS.ProviderSubType,Secure units,"[""24""]"
GIAS.ProviderSubType,Service children's education,"[""26""]"
GIAS.ProviderSubType,Sixth form centres,"[""31""]"
GIAS.ProviderSubType,Special post 16 institution,"[""32""]"
GIAS.ProviderSubType,Studio schools,"[""41""]"
GIAS.ProviderSubType,University technical college,"[""40""]"
GIAS.ProviderSubType,Voluntary aided school,"[""2""]"
GIAS.ProviderSubType,Voluntary controlled school,"[""3""]"
GIAS.ProviderSubType,Welsh establishment,"[""30""]"
GIAS.ProviderStatus,Open,"[""1""]"
GIAS.ProviderStatus,Closed,"[""2"", ""9"", ""5"", ""6"", ""8""]"
GIAS.ProviderStatus,Opening,"[""7"", ""4""]"
GIAS.ProviderStatus,Closing,"[""3""]"
GIAS.ProviderStatus,Archived,"[""10""]"
UKRLP.ProviderStatus,Open,"[""Active""]"
UKRLP.ProviderStatus,Closed,"[""DeActivationConfirmed""]"
UKRLP.ProviderStatus,Opening,"[""Any""]"
UKRLP.ProviderStatus,Closing,"[""DeActivationInProcess""]"
GIAS.ManagementGroupType,Trust,"[""2""]"
GIAS.ManagementGroupType,Federation,"[""1""]"
GIAS.ManagementGroupType,School sponsor,"[""5""]"
GIAS.ManagementGroupType,Single-academy trust,"[""10""]"
GIAS.ManagementGroupType,Multi-academy trust,"[""6""]"
GIAS.ManagementGroupType,Children's Centres Group,"[""8""]"
GIAS.ManagementGroupType,Children's Centres Collaboration,"[""9""]"
GIAS.ManagementGroupType,Umbrella Trust,"[""7""]"
GIAS.AdmissionsPolicy,Selective,"[""2""]"
GIAS.AdmissionsPolicy,Non Selective,"[""4""]"
GIAS.AdmissionsPolicy,Not Applicable,"[""0""]"
GIAS.AdmissionsPolicy,Not Recorded,"[""9""]"
IStore.CensusAggregationFields,FundingBasis,"[""System.String[]""]"
IStore.CensusAggregationFields,PersonBirthDate,"[""System.DateTime""]"
IStore.CensusAggregationFields,FundedHours,"[""System.Decimal""]"
IStore.CensusAggregationFields,ExtendedHours,"[""System.Decimal""]"
IStore.CensusAggregationFields,ThirtyHourCode,"[""System.Int64""]"
IStore.CensusAggregationFields,HoursAtSetting,"[""System.Decimal""]"
IStore.CensusAggregationFields,TotalFundedSpringHours,"[""System.Decimal""]"
IStore.CensusAggregationFields,GenderCurrent,"[""System.String""]"
IStore.CensusAggregationFields,Ethnicity,"[""System.String""]"
IStore.CensusAggregationFields,ServiceChild,"[""System.String""]"
IStore.CensusAggregationFields,APType,"[""System.String""]"
IStore.CensusAggregationFields,SENProvision,"[""System.String""]"
IStore.CensusAggregationFields,FSMstartDate,"[""System.DateTime""]"
IStore.CensusAggregationFields,FSMendDate,"[""System.DateTime""]"
IStore.CensusAggregationFields,EntryDate,"[""System.DateTime""]"
IStore.CensusAggregationFields,APSessionsPerWeek,"[""System.Byte""]"
IStore.CensusAggregationFields,HoursAtSetting,"[""System.Decimal""]"
IStore.CensusAggregationFields,LeavingDate,"[""System.DateTime""]"
IStore.CensusAggregationFields,APSettingType,"[""System.String""]"
IStore.CensusAggregationFields,APAssociation,"[""System.String""]"
IStore.CensusAggregationFields,APPlacementReason,"[""System.String""]"
IStore.CensusAggregationFields,APAttendancePattern,"[""System.String""]"
IStore.CensusAggregationFields,SENtypeRank,"[""System.Byte[]""]"
IStore.CensusAggregationFields,SENtype,"[""System.String[]""]"
IStore.CensusAggregationFields,QN,"[""System.String[]""]"
IStore.CensusAggregationFields,CoreAim,"[""System.Byte[]""]"
IStore.CensusAggregationFields,Traineeship,"[""System.Byte[]""]"
IStore.CensusAggregationFields,LearningStartDate,"[""System.DateTime[]""]"
IStore.CensusAggregationFields,LearningPlannedEndDate,"[""System.DateTime[]""]"
IStore.CensusAggregationFields,LearningActualEndDate,"[""System.DateTime[]""]"
IStore.CensusAggregationFields,SCC,"[""System.String[]""]"
IStore.CensusAggregationFields,LearningAimWithdrawalReason,"[""System.String[]""]"
IStore.CensusAggregationFields,LearningAimStatus,"[""System.String[]""]"
IStore.CensusAggregationFields,SupportCode,"[""System.String[]""]"
IStore.CensusAggregationFields,Postcode,"[""System.String""]"
IStore.CensusAggregationFields,Town,"[""System.String""]"
IStore.CensusAggregationFields,SchoolLunchTaken,"[""System.Byte""]"
IStore.CensusAggregationFields,PartTime,"[""System.Byte""]"
IStore.CensusAggregationFields,TopUpFunding,"[""System.Byte""]"
IStore.CensusAggregationFields,TermlySessionsPossible,"[""System.Int16""]"
IStore.CensusAggregationFields,TermlySessionsAuthorised,"[""System.Int16""]"
IStore.CensusAggregationFields,TermlySessionsUnauthorised,"[""System.Int16""]"
IStore.CensusAggregationFields,QualHrs,"[""System.Int16""]"
IStore.CensusAggregationFields,SENUnitIndicator,"[""System.Byte""]"
IStore.CensusAggregationFields,ResourcedProvisionIndicator,"[""System.Byte""]"
IStore.CensusAggregationFields,NonQualHrs,"[""System.Int16""]"
IStore.CensusAggregationFields,FTEmp,"[""System.Byte""]"
IStore.CensusAggregationFields,QualHrsPreviousYear,"[""System.Int16""]"
IStore.CensusAggregationFields,NonQualHrsPreviousYear,"[""System.Int16""]"
IStore.CensusAggregationFields,MoveOffRollFlag,"[""System.Byte""]"
IStore.CensusAggregationFields,FundedHours,"[""System.Decimal""]"
IStore.CensusAggregationFields,DuplicateNotFunded,"[""System.Byte""]"
IStore.CensusAggregationFields,SummerHalfTerm2SessionsPossible,"[""System.Int16""]"
IStore.CensusAggregationFields,SummerHalfTerm2SessionsAuthorised,"[""System.Int16""]"
IStore.CensusAggregationFields,SummerHalfTerm2SessionsUnauthorised,"[""System.Int16""]"
IStore.CensusAggregationFields,DAFIndicator,"[""System.Byte""]"
IStore.CensusAggregationFields,Language,"[""System.String""]"
IStore.CensusAggregationFields,ClassType,"[""System.String""]"
IStore.CensusAggregationFields,EnrolStatus,"[""System.String""]"
IStore.CensusAggregationFields,Boarder,"[""System.String""]"
IStore.CensusAggregationFields,NCYearActual,"[""System.String""]"
IStore.CensusAggregationFields,MathsGCSEHighestPriorAttainment,"[""System.String""]"
IStore.CensusAggregationFields,MathsGCSEPriorAttainmentYearGroup,"[""System.String""]"
IStore.CensusAggregationFields,EnglishGCSEHighestPriorAttainment,"[""System.String""]"
IStore.CensusAggregationFields,EnglishGCSEPriorAttainmentYearGroup,"[""System.String""]"
IStore.CensusAggregationFields,MathsGCSEFundingExemption,"[""System.String""]"
IStore.CensusAggregationFields,EnglishGCSEFundingExemption,"[""System.String""]"
IStore.CensusAggregationFields,MathsGCSEHighestPriorAttainmentPreviousYear,"[""System.String""]"
IStore.CensusAggregationFields,EnglishGCSEHighestPriorAttainmentPreviousYear,"[""System.String""]"
IStore.CensusAggregationFields,CountryofBirth,"[""System.String""]"
IStore.CensusAggregationFields,YSSA,"[""System.String""]"
IStore.CensusAggregationFields,PLAA,"[""System.String""]"
IStore.CensusAggregationFields,EYPPR,"[""System.String""]"
IStore.CensusAggregationFields,EYPPBF,"[""System.String""]"
IStore.CensusAggregationFields,EYUentitlement,"[""System.Decimal""]"
IStore.CensusAggregationFields,EYEentitlement,"[""System.Decimal""]"
IStore.CensusAggregationFields,PPentitlement,"[""System.Decimal""]"
IStore.CensusAggregationFields,HNentitlement,"[""System.Decimal""]"
IStore.CensusAggregationFields,SBentitlement,"[""System.Decimal""]"
IStore.CensusAggregationFields,SBentitlementNew,"[""System.Decimal""]"
IStore.CensusAggregationFields,Contribution,"[""System.Decimal""]"
IStore.CensusAggregationFields,ReleaseFlag,"[""System.Byte""]"
